name,averageTemperature,averageTemperatureF,pop2019
Bahamas,24.85,76.73,389.482
Central African Republic,24.9,76.82,4745.185
Haiti,24.9,76.82,11263.077
Nicaragua,24.9,76.82,6545.502
Jamaica,24.95,76.91,2948.279
Brazil,24.95,76.91,211049.527
Bangladesh,25,77,163046.161
Gabon,25.05,77.09,2172.579
Cuba,25.2,77.36,11333.483
Papua New Guinea,25.25,77.45,8776.109
Tonga,25.25,77.45,104.494
Liberia,25.3,77.54,4937.374
Belize,25.3,77.54,390.353
Kuwait,25.35,77.63,4207.083
Venezuela,25.35,77.63,28515.829
Malaysia,25.4,77.72,31949.777
Panama,25.4,77.72,4246.439
Eritrea,25.5,77.9,3497.117
Saint Lucia,25.5,77.9,182.79
Comoros,25.55,77.99,850.886
Oman,25.6,78.08,4974.986
Solomon Islands,25.65,78.17,669.823
Guinea,25.7,78.26,12771.246
Suriname,25.7,78.26,581.372
Trinidad and Tobago,25.75,78.35,1394.973
Indonesia,25.85,78.53,270625.568
Micronesia,25.85,78.53,113.815
Philippines,25.85,78.53,108116.615
Antigua and Barbuda,26,78.8,97.118
Guyana,26,78.8,782.766
Barbados,26,78.8,287.025
Sierra Leone,26.05,78.89,7813.215
Thailand,26.3,79.34,69625.582
Ivory Coast,26.35,79.43,25716.544
Singapore,26.45,79.61,5804.337
Chad,26.55,79.79,15946.876
Grenada,26.65,79.97,112.003
Samoa,26.7,80.06,197.097
Guinea-Bissau,26.75,80.15,1920.922
Cambodia,26.8,80.24,16486.542
Nigeria,26.8,80.24,200963.599
Saint Vincent and the Grenadines,26.8,80.24,110.589
Brunei,26.85,80.33,433.285
Sudan,26.9,80.42,42813.238
Sri Lanka,26.95,80.51,21323.733
United Arab Emirates,27,80.6,9770.529
Somalia,27.05,80.69,15442.905
Bahrain,27.15,80.87,1641.172
Niger,27.15,80.87,23310.715
Qatar,27.15,80.87,2832.067
Seychelles,27.15,80.87,97.739
Togo,27.15,80.87,8082.366
Ghana,27.2,80.96,30417.856
Marshall Islands,27.4,81.32,58.791
Gambia,27.5,81.5,2347.706
Benin,27.55,81.59,11801.151
Palau,27.6,81.68,18.008
Maldives,27.65,81.77,530.953
Mauritania,27.65,81.77,4525.696
Senegal,27.85,82.13,16296.364
Djibouti,28,82.4,973.56
Tuvalu,28,82.4,11.646
Kiribati,28.2,82.76,117.606
Mali,28.25,82.85,19658.031
Burkina Faso,28.25,82.85,20321.378
Macau,20,NaN,NaN
Hong Kong,20,NaN,NaN
North Macedonia,9.5,NaN,NaN
Faroe Islands,6.5,NaN,NaN
